-3.86,-21.21
-3.86,-21.21
-3.87,-21.21
-3.87,-21.21
-3.88,-21.21
-3.88,-21.21
-3.89,-21.21
-3.89,-21.21
-3.90,-21.21
-3.90,-21.21
-3.91,-21.21
-3.91,-21.21
-3.92,-21.21
-3.92,-21.21
-3.93,-21.21
-3.93,-21.21
-3.94,-21.21
-3.95,-21.21
-3.95,-21.21
-3.96,-21.21
-3.96,-21.21
-3.97,-21.21
-3.97,-21.21
-3.98,-21.21
-3.98,-21.21
-3.99,-21.21
-3.99,-21.21
-4.00,-21.21
-4.00,-21.21
-4.01,-21.21
-4.01,-21.21
-4.02,-21.21
-4.02,-21.21
-4.03,-21.21
-4.03,-21.21
-4.04,-21.21
-4.04,-21.21
-4.05,-21.21
-4.05,-21.21
-4.06,-21.21
-4.06,-21.21
-4.07,-21.21
-4.07,-21.21
-4.08,-21.21
-4.09,-21.21
-4.09,-21.21
-4.10,-21.21
-4.10,-21.21
-4.11,-21.21
-4.11,-21.21
-4.12,-21.21
-4.12,-21.21
-4.13,-21.21
-4.13,-21.21
-4.14,-21.21
-4.14,-21.21
-4.15,-21.21
-4.15,-21.21
-4.16,-21.21
-4.16,-21.21
-4.17,-21.21
-4.17,-21.21
-4.18,-21.21
-4.18,-21.21
-4.19,-21.21
-4.19,-21.21
-4.20,-21.21
-4.20,-21.21
-4.21,-21.21
-4.21,-21.21
-4.22,-21.21
-4.23,-21.21
-4.23,-21.21
-4.24,-21.21
-4.24,-21.21
-4.25,-21.21
-4.25,-21.21
-4.26,-21.21
-4.26,-21.21
-4.27,-21.21
-4.27,-21.21
-4.28,-21.21
-4.28,-21.21
-4.29,-21.21
-4.29,-21.21
-4.30,-21.21
-4.30,-21.21
-4.31,-21.21
-4.31,-21.21
-4.32,-21.21
-4.35,-21.21
-4.39,-21.21
-4.42,-21.21
-4.45,-21.21
-4.49,-21.21
-4.52,-21.21
-4.55,-21.21
-4.59,-21.21
-4.62,-21.21
-4.66,-21.21
-4.69,-21.21
-4.72,-21.21
-4.76,-21.21
-4.79,-21.21
-4.82,-21.21
-4.86,-21.21
-4.89,-21.21
-4.92,-21.21
-4.96,-21.21
-4.99,-21.21
-5.03,-21.21
-5.06,-21.21
-5.09,-21.21
-5.13,-21.21
-5.16,-21.21
-5.19,-21.21
-5.23,-21.21
-5.26,-21.21
-5.29,-21.21
-5.33,-21.21
-5.36,-21.21
-5.40,-21.21
-5.43,-21.21
-5.46,-21.21
-5.50,-21.21
-5.53,-21.21
-5.56,-21.21
-5.60,-21.21
-5.63,-21.21
-5.67,-21.21
-5.70,-21.21
-5.73,-21.21
-5.77,-21.21
-5.80,-21.21
-5.83,-21.21
-5.87,-21.21
-5.90,-21.21
-5.93,-21.21
-5.97,-21.21
-6.00,-21.21
-6.04,-21.21
-6.07,-21.21
-6.10,-21.21
-6.14,-21.21
-6.17,-21.21
-6.20,-21.21
-6.24,-21.21
-6.27,-21.21
-6.30,-21.21
-6.34,-21.21
-6.37,-21.21
